Method,Retrospective,Dataset,Accuracy,Recall,Precision,F-Score
Neural Network,190,Train,0.8951048951048951,0.946546052631579,0.8881172839506173,0.9164012738853503
Neural Network,190,Test,0.8243512974051896,0.8557692307692307,0.8612903225806452,0.8585209003215434
Naive Bayes,200,Train,0.6409614421632449,0.8676351896690879,0.6603194103194103,0.749912800837112
Naive Bayes,200,Test,0.656,0.8970099667774086,0.656934306569343,0.7584269662921348
Decision Tree,200,Train,0.9604406609914873,0.9782082324455206,0.9588607594936709,0.9684378745505393
Decision Tree,200,Test,0.882,0.9069767441860465,0.8980263157894737,0.9024793388429752
Logistic Regression,200,Train,0.658487731597396,0.9644874899112187,0.651936715766503,0.7779947916666666
Logistic Regression,200,Test,0.662,0.9867109634551495,0.6428571428571429,0.7785058977719528
Random Forest,200,Train,0.9168753129694541,0.9677158999192897,0.9049056603773585,0.9352574102964119
Random Forest,200,Test,0.858,0.946843853820598,0.8382352941176471,0.8892355694227769
K-Nearest Neighbors,200,Train,0.928392588883325,0.9539951573849879,0.9321766561514195,0.9429597128041484
K-Nearest Neighbors,200,Test,0.806,0.8538205980066446,0.8290322580645161,0.8412438625204582
Neural Network,200,Train,0.8863294942413621,0.9596448748991122,0.8704245973645681,0.9128598848368522
Neural Network,200,Test,0.804,0.9003322259136213,0.799410029498525,0.846875
Naive Bayes,210,Train,0.658487731597396,0.8772908366533865,0.6758747697974218,0.7635228848821082
Naive Bayes,210,Test,0.674,0.8993506493506493,0.6772616136919315,0.7726638772663877
Decision Tree,210,Train,0.9083625438157236,0.9362549800796812,0.9194053208137715,0.927753651796289
Decision Tree,210,Test,0.882,0.9025974025974026,0.9055374592833876,0.9040650406504065
Logistic Regression,210,Train,0.6695042563845769,0.9752988047808765,0.6605504587155964,0.7876447876447876
Logistic Regression,210,Test,0.672,0.9902597402597403,0.6545064377682404,0.7881136950904393
Random Forest,210,Train,0.8743114672008012,0.9912350597609562,0.8382749326145552,0.9083607155896313
Random Forest,210,Test,0.83,0.974025974025974,0.7957559681697612,0.8759124087591241
K-Nearest Neighbors,210,Train,0.9364046069103655,0.9609561752988047,0.9392523364485982,0.949980307207562
K-Nearest Neighbors,210,Test,0.786,0.8538961038961039,0.8092307692307692,0.8309636650868878
Neural Network,210,Train,0.9028542814221332,0.9649402390438248,0.8897869213813373,0.9258409785932722
Neural Network,210,Test,0.798,0.9123376623376623,0.7915492957746478,0.8476621417797888
Naive Bayes,220,Train,0.6576305220883534,0.8748991121872478,0.6728739913097455,0.7607017543859649
Naive Bayes,220,Test,0.6332665330661322,0.8642384105960265,0.6476426799007444,0.7404255319148936
Decision Tree,220,Train,0.8514056224899599,0.8466505246166263,0.9082251082251083,0.8763575605680869
Decision Tree,220,Test,0.8056112224448898,0.8112582781456954,0.8596491228070176,0.8347529812606473
Logistic Regression,220,Train,0.6596385542168675,0.9548022598870056,0.6554016620498615,0.7772667542706965
Logistic Regression,220,Test,0.6492985971943888,0.956953642384106,0.6407982261640798,0.7675962815405046
Random Forest,220,Train,0.8393574297188755,0.9927360774818402,0.7981829980532122,0.8848920863309353
Random Forest,220,Test,0.7855711422845691,0.9768211920529801,0.7468354430379747,0.8464849354375896
K-Nearest Neighbors,220,Train,0.9312248995983936,0.9556093623890234,0.9352290679304898,0.945309381237525
K-Nearest Neighbors,220,Test,0.7955911823647295,0.8642384105960265,0.8105590062111802,0.8365384615384616
Neural Network,220,Train,0.8975903614457831,0.903954802259887,0.9294605809128631,0.9165302782324058
Neural Network,220,Test,0.8557114228456913,0.8708609271523179,0.8885135135135135,0.8795986622073578
Naive Bayes,230,Train,0.649546827794562,0.8682108626198083,0.6718170580964153,0.7574912891986063
Naive Bayes,230,Test,0.6619718309859155,0.8666666666666667,0.6842105263157895,0.7647058823529411
Decision Tree,230,Train,0.8408862034239678,0.9329073482428115,0.8342857142857143,0.8808446455505279
Decision Tree,230,Test,0.7987927565392354,0.9206349206349206,0.7945205479452054,0.8529411764705882
Logistic Regression,230,Train,0.6737160120845922,0.9848242811501597,0.6621911922663802,0.791907514450867
Logistic Regression,230,Test,0.6881287726358148,0.9873015873015873,0.6731601731601732,0.8005148005148005
Random Forest,230,Train,0.8479355488418933,0.9952076677316294,0.808041504539559,0.8919112383679313
Random Forest,230,Test,0.8048289738430584,0.9904761904761905,0.7684729064039408,0.8654646324549237
K-Nearest Neighbors,230,Train,0.9340382678751259,0.9496805111821086,0.9459029435163087,0.9477879633320048
K-Nearest Neighbors,230,Test,0.8430583501006036,0.8888888888888888,0.8668730650154799,0.877742946708464
Neural Network,230,Train,0.9093655589123867,0.952076677316294,0.9085365853658537,0.9297971918876755
Neural Network,230,Test,0.869215291750503,0.9238095238095239,0.8765060240963856,0.8995363214837713
